"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Mrpl15",25.11214592311,35.6533147035408,36.4119547273375,41.7564749706376,36.4777559933548,15.2359593041938,43.1679236431304,20.3047648426534,23.7396339985265,30.7169496836175,17.6168827771052,21.1413589341777,38.3905723959628,30.7356684487532,48.5060359852133,40.3599489301885,34.837183817245,29.7238371083596,31.6072402806851,40.8404984004323,37.0598465980553,46.5108328129857,31.1999614448233,33.3500259179914
"Tcea1",0,25.7496161747795,33.4989983491505,13.0488984283242,11.101925737108,17.140454217218,17.7750273824654,13.5365098951022,21.3656705986739,15.3584748418087,22.0211034713815,21.1413589341777,12.2151821259882,30.7356684487532,18.189763494455,27.9828979249307,14.4153864071359,15.4123599821124,29.8512824873137,15.1261105186786,21.8990002624872,17.4415623048696,14.5599820075842,22.2333506119943
"Atp6v1h",121.375371961698,102.998464699118,100.496995047451,91.3422889982697,133.223108845296,125.696664259599,137.121639807591,101.523824213267,99.7064627938114,155.291245622733,107.903407009769,110.404874434039,107.609937776562,107.574839570636,97.0120719704267,94.7113468228425,96.1025760475725,99.0794570278653,87.7978896685698,95.2944962676753,102.756847385517,102.71142246201,68.6399151786113,101.638174226259
"Rb1cc1",29.2975035769617,19.8073970575227,36.4119547273375,20.8782374853188,28.5478090382777,34.280908434436,20.3143170085319,33.8412747377556,42.7313411973477,25.5974580696813,22.0211034713815,39.9336779867801,36.6455463779645,23.9055199045859,33.3478997398342,34.9786224061634,30.0320550148664,44.0353142346068,26.3393669005709,39.3278873485644,45.4825390067042,19.3795136720774,18.719976866894,33.3500259179914
"St18",37.668218884665,43.5762735265499,36.4119547273375,52.1955937132969,22.203851474216,34.280908434436,33.0107651388644,27.0730197902045,30.8615241980845,32.4234468882629,30.829544859934,37.5846381052048,42.4622997712922,25.6130570406277,54.569290483365,37.1311530157735,33.6359016166504,41.8335485228765,42.1429870409135,27.2269989336215,28.6371541894064,25.1933677737006,24.9599691558587,26.9976400288502
"Pcmtd1",16.7414306154067,23.7688764690272,24.7601292145895,33.927135913643,11.101925737108,7.61797965209688,26.6625410736982,16.9206373688778,11.8698169992633,27.3039552743267,19.8189931242433,28.1884785789036,29.0837669666385,10.2452228162511,18.189763494455,27.9828979249307,21.6230796107038,29.7238371083596,12.2917045535998,19.6639436742822,23.583538744217,25.1933677737006,27.0399665855135,9.52857883371182
"Gm26901",12.556072961555,3.96147941150453,8.738869134561,5.21955937132969,9.51593634609255,7.61797965209688,5.07857925213299,3.38412747377556,7.12189019955796,1.70649720464542,0,4.6980797631506,6.39842873266047,5.12261140812554,6.06325449815167,9.14825509084274,6.00641100297328,4.40353142346068,12.2917045535998,12.1008884149429,1.68453848172979,3.87590273441547,2.07999742965489,0
"Sntg1",12.556072961555,1.98073970575227,7.2823909454675,15.6586781139891,7.92994695507713,9.5224745651211,6.34822406516623,13.5365098951022,11.8698169992633,13.6519776371633,2.20211034713815,0,8.14345475065878,8.53768568020923,6.06325449815167,6.99572448123268,8.40897540416259,9.90794570278653,7.02383117348559,6.05044420747145,11.7917693721085,7.75180546883095,6.23999228896466,7.94048236142652
"Rrs1",20.9267882692583,19.8073970575227,20.390694647309,26.0977968566485,33.3057772113239,28.5674236953633,27.9321858867314,10.1523824213267,23.7396339985265,22.1844636603904,17.6168827771052,37.5846381052048,18.6136108586486,25.6130570406277,25.2635604089653,25.8303673153207,25.2269262124878,20.9167742614382,14.0476623469712,21.1765547261501,26.9526157076766,19.3795136720774,27.0399665855135,17.4690611951383
"Vcpip1",251.1214592311,301.072435274344,243.231857578614,300.124663851457,207.764610223021,213.303430258713,198.064590833186,243.65717811184,237.396339985265,216.725144989968,220.211034713815,197.319350052325,214.056524874459,233.932587637733,241.519637509708,209.87173443698,192.205152095145,202.562445479191,230.030470931653,217.815991468972,247.627156814279,168.601768947073,220.479727543418,242.978760259651
"1700034P13Rik",12.556072961555,13.8651779402659,17.477738269122,7.82933905699454,6.3439575640617,9.5224745651211,11.4268033172992,6.76825494755112,7.12189019955796,17.0649720464542,2.20211034713815,18.7923190526024,7.56177941132601,22.197982768544,14.1475938290206,10.2245203956478,12.0128220059466,11.0088285586517,15.8036201403426,12.1008884149429,10.1072308903787,23.2554164064928,16.6399794372391,7.94048236142652
"Sgk3",96.2632260385883,63.3836705840725,42.2378674837115,31.3173562279782,71.3695225956941,38.0898982604844,59.6733062125626,37.2254022115311,35.6094509977898,39.2494357068446,44.0422069427629,35.2355982236295,51.7691052006165,73.4240968497994,52.5482056506478,52.1988672830439,58.8628278291382,51.741494225663,42.1429870409135,66.5548862821859,47.167077488434,52.3246869146089,60.3199254599917,38.1143153348473
"Snhg6",4.18535765385167,21.7881367632749,11.651825512748,5.21955937132969,1.58598939101543,5.71348473907266,25.3928962606649,20.3047648426534,14.2437803991159,13.6519776371633,17.6168827771052,7.0471196447259,17.4502601799831,25.6130570406277,13.1370514126619,20.4490407912955,6.00641100297328,15.4123599821124,15.8036201403426,10.588277363075,23.583538744217,17.4415623048696,6.23999228896466,14.2928682505677
"Cops5",46.0389341923683,37.6340544092931,48.0637802400855,70.4640515129509,82.4714483328021,51.4213626516539,49.5161477082966,33.8412747377556,52.2271947967584,81.91186582298,77.0738621498351,54.0279172762319,76.7811447919257,49.5185769452136,50.5271208179306,69.9572448123268,93.7000116463832,69.3556199195057,54.4346915945133,68.0674973340538,43.7980005249745,79.4560060555172,35.3599563041331,61.9357624191269
"Cspp1",12.556072961555,35.6533147035408,30.5860419709635,33.927135913643,15.8598939101543,26.6629287823391,21.5839618215652,23.6888923164289,45.1053045972004,25.5974580696813,19.8189931242433,21.1413589341777,29.0837669666385,34.1507427208369,35.3689845725514,24.7541020105156,32.4346194160557,37.4300170994158,24.5834091071996,30.2522210373572,26.9526157076766,29.069270508116,18.719976866894,23.8214470842796
"Arfgef1",326.45789700043,190.151011752218,123.800646072947,334.0517997651,199.834663267944,219.016914997785,104.110874668726,196.279393478982,135.315913791601,151.878251213442,246.636358879472,103.357754789313,117.49841854522,196.366770644812,156.634074535585,118.389183528553,195.808998696929,153.022716965259,212.470892997939,166.387215705465,175.192002099898,162.78791484545,203.839748106179,198.512059035663
"Cpa6",12.556072961555,17.8266573517704,17.477738269122,18.2684577996539,4.75796817304628,19.0449491302422,26.6625410736982,27.0730197902045,26.1135973983792,27.3039552743267,26.4253241656577,21.1413589341777,16.2869095013176,5.12261140812554,7.07379691451028,11.8389183528553,9.61025760475725,11.0088285586517,10.5357467602284,16.6387215705465,15.1608463355681,9.68975683603868,14.5599820075842,9.52857883371182
"Prex2",0,0,5.825912756374,5.21955937132969,12.6879151281234,1.90449491302422,2.53928962606649,3.38412747377556,4.74792679970531,3.41299440929083,2.20211034713815,4.6980797631506,5.23507805399493,5.12261140812554,3.03162724907583,7.5338571336352,4.80512880237863,3.30264856759551,8.77978896685698,4.53783315560359,11.7917693721085,5.81385410162321,2.07999742965489,3.17619294457061
"Ncoa2",20.9267882692583,25.7496161747795,20.390694647309,10.4391187426594,12.6879151281234,17.140454217218,11.4268033172992,13.5365098951022,18.9917071988212,8.53248602322708,15.414772429967,16.4432791710271,16.2869095013176,22.197982768544,14.1475938290206,20.4490407912955,13.2141042065412,23.1185399731686,29.8512824873137,9.07566631120717,16.8453848172979,11.6277082032464,12.4799845779293,14.2928682505677
"Tram1",75.33643776933,41.5955338207976,61.172083941927,67.854271827286,55.5096286855399,55.2303524777024,62.2125958386291,64.2984220017356,59.3490849963163,63.1403965718804,70.4675311084206,70.471196447259,56.4225079152787,47.8110398091717,71.7485115614614,59.1945917642765,56.4602634279489,73.7591513429664,56.1906493878847,57.4792199709788,53.9052314153532,69.7662492194785,54.0799331710271,49.2309906408444
"Lactb2",8.37071530770333,7.92295882300906,7.2823909454675,7.82933905699454,12.6879151281234,19.0449491302422,12.6964481303325,6.76825494755112,7.12189019955796,17.0649720464542,13.2126620828289,7.0471196447259,11.0518314473226,10.2452228162511,8.08433933086889,12.9151836576603,12.0128220059466,13.210594270382,17.559577933714,0,8.42269240864893,1.93795136720774,4.15999485930978,7.94048236142652
"Terf1",12.556072961555,9.90369852876133,5.825912756374,15.6586781139891,12.6879151281234,22.8539389562906,5.07857925213299,23.6888923164289,11.8698169992633,3.41299440929083,22.0211034713815,7.0471196447259,11.6335067866554,6.83014854416739,9.0948817472275,10.2245203956478,8.40897540416259,11.0088285586517,22.8274513138282,10.588277363075,11.7917693721085,3.87590273441547,18.719976866894,12.7047717782824
"Gm7634",0,5.9422191172568,8.738869134561,5.21955937132969,7.92994695507713,1.90449491302422,10.157158504266,6.76825494755112,2.37396339985265,6.82598881858167,2.20211034713815,9.3961595263012,6.39842873266047,1.70753713604185,4.04216966543444,5.91945917642765,10.8115398053519,5.50441427932585,5.26787338011419,12.1008884149429,10.1072308903787,3.87590273441547,8.31998971861955,12.7047717782824
"Rpl7",125.56072961555,182.228052929209,238.862423011334,143.537882711567,206.178620832005,251.393328519197,201.873525272286,233.504795690514,206.534815787181,192.834184124932,204.796262283848,211.413589341777,330.391592741013,251.007958998152,310.236521822094,369.158999548125,218.633360508227,307.146316786383,328.364107360451,234.454713039519,298.163311266172,337.203537894146,205.919745535834,328.735969763058
"Rdh10",4.18535765385167,7.92295882300906,2.912956378187,5.21955937132969,4.75796817304628,0,2.53928962606649,0,4.74792679970531,1.70649720464542,6.60633104141444,2.3490398815753,5.8167533933277,10.2452228162511,6.06325449815167,3.22879591441508,3.60384660178397,2.20176571173034,1.7559577933714,10.588277363075,3.36907696345957,0,2.07999742965489,3.17619294457061
"Stau2",8.37071530770333,9.90369852876133,13.1083037018415,7.82933905699454,15.8598939101543,15.2359593041938,13.9660929433657,6.76825494755112,14.2437803991159,10.2389832278725,6.60633104141444,18.7923190526024,7.56177941132601,11.9527599522929,9.0948817472275,14.5295816148679,9.61025760475725,8.80706284692136,10.5357467602284,13.6134994668108,16.8453848172979,11.6277082032464,6.23999228896466,4.76428941685591
"Ube2w",54.4096495000716,61.4029308783203,64.085040320114,44.3662546563024,44.4077029484319,64.7528270428235,64.7518854646956,91.3714417919401,73.5928653954322,81.91186582298,83.6801931912495,44.6317577499307,84.3429242032517,56.348725489381,80.8433933086889,95.249479475245,58.8628278291382,85.8688627574833,71.9942695282273,55.9666089191109,45.4825390067042,94.9596169931791,72.7999100379211,69.8762447805534
"Eloc",226.00931330799,247.592463219033,292.752116007793,242.709510766831,321.955846376131,316.146155562021,286.939727745514,189.511138531431,294.371461581729,291.811021994366,224.615255408091,293.629985196912,360.057035046985,346.630038616495,353.689845725514,356.781948542867,347.170555971856,339.071919606472,345.923685294165,334.287042462798,439.664543731474,422.473398051287,307.839619588923,387.495539237614
"Tmem70",8.37071530770333,13.8651779402659,20.390694647309,15.6586781139891,25.3758302562468,19.0449491302422,26.6625410736982,13.5365098951022,21.3656705986739,8.53248602322708,13.2126620828289,32.8865583420542,23.8486889126436,22.197982768544,18.189763494455,31.2116938393458,21.6230796107038,26.4211885407641,22.8274513138282,19.6639436742822,30.3216926711362,31.0072218753238,31.1999614448233,23.8214470842796
"Ly96",25.11214592311,65.3644102898248,65.5415185092075,28.7075765423133,68.1975438136633,47.6123728256055,66.0215302777288,30.45714726398,49.8532313969057,78.4988714136892,61.6590897198681,46.980797631506,91.9047036145777,47.8110398091717,67.7063418960269,95.249479475245,88.8948828440046,73.7591513429664,80.7740584950842,57.4792199709788,60.6433853422723,58.1385410162321,56.159930600682,41.2905082794179
"Mcm3",12.556072961555,9.90369852876133,11.651825512748,2.60977968566485,12.6879151281234,5.71348473907266,7.61786887819948,13.5365098951022,7.12189019955796,15.3584748418087,8.80844138855258,9.3961595263012,11.0518314473226,17.0753713604185,12.1265089963033,8.07198978603771,3.60384660178397,6.60529713519102,7.02383117348559,25.7143878817537,8.42269240864893,9.68975683603868,10.3999871482744,9.52857883371182
"Tram2",0,1.98073970575227,2.912956378187,10.4391187426594,14.2739045191388,1.90449491302422,1.26964481303325,6.76825494755112,4.74792679970531,0,13.2126620828289,2.3490398815753,1.74502601799831,0,4.04216966543444,2.15253060961006,4.80512880237863,3.30264856759551,8.77978896685698,7.56305525933931,10.1072308903787,7.75180546883095,2.07999742965489,7.94048236142652
"Tmem14a",4.18535765385167,9.90369852876133,1.4564781890935,0,3.17197878203085,3.80898982604844,11.4268033172992,10.1523824213267,7.12189019955796,6.82598881858167,4.40422069427629,16.4432791710271,6.39842873266047,5.12261140812554,6.06325449815167,5.38132652402514,4.80512880237863,3.30264856759551,5.26787338011419,4.53783315560359,1.68453848172979,13.5656595704542,4.15999485930978,9.52857883371182
"Kcnq5",8.37071530770333,7.92295882300906,7.2823909454675,0,4.75796817304628,5.71348473907266,12.6964481303325,0,2.37396339985265,10.2389832278725,11.0105517356907,16.4432791710271,12.7968574653209,11.9527599522929,13.1370514126619,9.68638774324525,7.20769320356794,14.3114771262472,14.0476623469712,3.02522210373572,8.42269240864893,0,8.31998971861955,6.35238588914122
"Ogfrl1",8.37071530770333,9.90369852876133,11.651825512748,15.6586781139891,7.92994695507713,15.2359593041938,13.9660929433657,16.9206373688778,2.37396339985265,18.7714692510996,17.6168827771052,18.7923190526024,15.7052341619848,13.6602970883348,17.1792210780964,17.758377529283,12.0128220059466,15.4123599821124,10.5357467602284,27.2269989336215,13.4763078538383,11.6277082032464,16.6399794372391,17.4690611951383
"Smap1",41.8535765385166,31.6918352920363,56.8026493746465,60.0249327702915,71.3695225956941,43.8033829995571,72.369754342895,54.1460395804089,71.2189019955796,68.2598881858167,70.4675311084206,61.0750369209578,72.1277420772635,44.395965537088,54.569290483365,72.1097754219369,84.089754041626,64.9520884960451,35.1191558674279,69.5801083859217,40.4289235615149,52.3246869146089,83.1998971861955,50.8190871131297
"Sdhaf4",41.8535765385166,53.4799720553112,83.0192567783295,62.6347124559563,77.7134801597558,68.5618168688719,64.7518854646956,57.5301670541845,71.2189019955796,83.6183630276254,55.0527586784536,65.7731166841084,73.291092755929,61.4713368975065,63.6641722305925,66.1903162455092,57.6615456285435,63.8512056401799,66.7263961481131,69.5801083859217,84.2269240864893,75.5801033211017,49.9199383117173,50.8190871131297
"Col19a1",16.7414306154067,5.9422191172568,10.1953473236545,13.0488984283242,4.75796817304628,11.4269694781453,12.6964481303325,10.1523824213267,9.49585359941061,8.53248602322708,4.40422069427629,4.6980797631506,6.98010407199324,6.83014854416739,7.07379691451028,8.61012243844022,13.2141042065412,5.50441427932585,10.5357467602284,1.51261105186786,6.73815392691915,3.87590273441547,4.15999485930978,4.76428941685591
"Lmbrd1",79.5217954231816,87.1525470530997,85.9322131565165,67.854271827286,111.01925737108,100.938230390284,91.4144265383937,101.523824213267,87.8366457945481,92.1508490508525,114.509738051184,77.5183160919849,87.2513008999155,85.3768568020923,85.8961053904819,90.9444182560249,88.8948828440046,81.4653313340226,91.3098052553126,69.5801083859217,87.5960010499489,81.3939574227249,74.879907467576,73.052437725124
"Phf3",33.4828612308133,37.6340544092931,17.477738269122,18.2684577996539,26.9618196472622,22.8539389562906,24.1232514476317,16.9206373688778,14.2437803991159,34.1299440929083,17.6168827771052,23.490398815753,19.7769615373142,40.9808912650043,18.189763494455,23.1397040533081,19.2205152095145,23.1185399731686,31.6072402806851,18.1513326224143,18.5299232990277,23.2554164064928,24.9599691558587,22.2333506119943
"Khdrbs2",8.37071530770333,13.8651779402659,21.8471728364025,15.6586781139891,14.2739045191388,13.3314643911695,17.7750273824654,20.3047648426534,9.49585359941061,11.9454804325179,11.0105517356907,21.1413589341777,18.0319355193159,18.7829084964603,20.2108483271722,15.0677142672704,12.0128220059466,16.5132428379776,15.8036201403426,7.56305525933931,13.4763078538383,11.6277082032464,16.6399794372391,12.7047717782824
"Prim2",8.37071530770333,9.90369852876133,10.1953473236545,7.82933905699454,6.3439575640617,9.5224745651211,11.4268033172992,0,9.49585359941061,8.53248602322708,6.60633104141444,4.6980797631506,3.49005203599662,0,6.06325449815167,12.3770510052578,9.61025760475725,7.70617999105619,8.77978896685698,18.1513326224143,8.42269240864893,5.81385410162321,8.31998971861955,7.94048236142652
"Zfp451",8.37071530770333,19.8073970575227,33.4989983491505,18.2684577996539,15.8598939101543,41.8988880865328,16.5053825694322,20.3047648426534,21.3656705986739,18.7714692510996,19.8189931242433,16.4432791710271,24.4303642519763,11.9527599522929,25.2635604089653,17.2202448768804,19.2205152095145,16.5132428379776,14.0476623469712,10.588277363075,13.4763078538383,19.3795136720774,12.4799845779293,15.880964722853
"Bend6",4.18535765385167,7.92295882300906,5.825912756374,18.2684577996539,11.101925737108,7.61797965209688,7.61786887819948,10.1523824213267,2.37396339985265,6.82598881858167,4.40422069427629,9.3961595263012,6.98010407199324,3.41507427208369,6.06325449815167,5.38132652402514,3.60384660178397,13.210594270382,12.2917045535998,9.07566631120717,6.73815392691915,7.75180546883095,8.31998971861955,3.17619294457061
"Dst",167.414306154067,164.401395577438,109.235864182012,107.000967112259,111.01925737108,116.174189694477,93.9537161644602,98.1396967394912,113.950243192927,107.509323892661,134.328731175427,89.2635154998614,115.753392527221,90.4994682102179,93.9804447213508,108.702795785308,86.4923184428153,100.180339883731,105.357467602284,89.2440520602039,116.233155239355,89.1457628915559,120.639850919983,93.6976918648329
"Ccdc115",4.18535765385167,13.8651779402659,11.651825512748,5.21955937132969,3.17197878203085,3.80898982604844,5.07857925213299,10.1523824213267,2.37396339985265,13.6519776371633,6.60633104141444,14.0942392894518,6.98010407199324,10.2452228162511,5.05271208179305,10.2245203956478,15.6166686077305,5.50441427932585,5.26787338011419,7.56305525933931,11.7917693721085,7.75180546883095,14.5599820075842,3.17619294457061
