"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Mrpl15",35.4060148168881,36.1593927327026,41.4668421100433,36.2247375854589,15.1302790598658,42.868500638208,20.1639261552592,23.5749702401684,30.503889601035,17.4946878802161,20.9947174308118,38.1242862376913,30.5224785283553,48.1695865610614,40.0800027069906,34.5955448088964,29.5176654912491,31.3880049303731,40.557218971598,36.8027906710182,46.1882225934755,30.9835510775677,33.1187021912086
"Tcea1",25.5710107010859,33.2666413140863,12.9583881593885,11.0249201347049,17.021563942349,17.6517355569092,13.4426174368395,21.2174732161515,15.2519448005175,21.8683598502701,20.9947174308118,12.1304547119927,30.5224785283553,18.063594960398,27.7888018768468,14.3153978519572,15.3054561806477,29.6442268786857,15.021192211703,21.7471035783289,17.3205834725533,14.4589905028649,22.079134794139
"Atp6v1h",102.284042804343,99.7999239422591,90.7087171157197,132.299041616459,124.824802243893,136.170531439014,100.819630776296,99.0148750087071,154.214108538566,107.154963266324,109.639079916461,106.86352960565,106.828674849243,96.3391731221228,94.0544063524046,95.4359856797143,98.3922183041635,87.1889025843696,94.6335109337288,102.044101406005,101.998991560592,68.163812370649,100.93318763035
"Rb1cc1",19.6700082316045,36.1593927327026,20.7334210550216,28.3497946320983,34.043127884698,20.1734120650391,33.6065435920987,42.434946432303,25.4199080008625,21.8683598502701,39.6566884804222,36.391364135978,23.7397055220541,33.1165907607297,34.7360023460585,29.8237455249107,43.7298748018504,26.1566707753109,39.0550997504277,45.1670612780678,19.2450927472815,18.5901306465406,33.1187021912086
"St18",43.2740181095299,36.1593927327026,51.8335526375541,22.0498402694098,34.043127884698,32.7817946056885,26.8852348736789,30.6474613122189,32.1985501344259,30.6157037903782,37.3239420992209,42.1677711416888,25.4353987736294,54.190784881194,36.8736024904314,33.4025949879,41.5433810617579,41.8506732404974,27.0381459810654,28.4385200639686,25.0186205714659,24.7868408620542,26.8103779643117
"Pcmtd1",23.6040098779254,24.5883870582377,33.6918092144102,11.0249201347049,7.5651395299329,26.4776033353638,16.8032717960493,11.7874851200842,27.1145685342534,19.6815238652431,27.9929565744157,28.882035028554,10.1741595094518,18.063594960398,27.7888018768468,21.4730967779357,29.5176654912491,12.2064463618117,19.5275498752139,23.4199576997388,25.0186205714659,26.852410933892,9.46248634034531
"Gm26901",3.9340016463209,8.67825425584861,5.18335526375541,9.44993154403276,7.5651395299329,5.04335301625976,3.36065435920987,7.07249107205051,1.69466053339084,0,4.66549276240261,6.35404770628188,5.08707975472588,6.02119832013267,9.08480061358454,5.96474910498215,4.37298748018504,12.2064463618117,12.0169537693624,1.67285412140992,3.84901854945629,2.06557007183785,0
"Sntg1",1.96700082316045,7.23187854654051,15.5500657912662,7.87494295336063,9.45642441241612,6.3041912703247,13.4426174368395,11.7874851200842,13.5572842671267,2.18683598502701,0,8.08696980799511,8.47846625787647,6.02119832013267,6.94720046921171,8.35064874697501,9.83922183041635,6.97511220674957,6.00847688468119,11.7099788498694,7.69803709891259,6.19671021551354,7.88540528362109
"Rrs1",19.6700082316045,20.2492599303134,25.916776318777,33.0747604041146,28.3692732372484,27.7384415894287,10.0819630776296,23.5749702401684,22.0305869340809,17.4946878802161,37.3239420992209,18.4845024182745,25.4353987736294,25.0883263338861,25.651201732474,25.051946240925,20.771690530879,13.9502244134991,21.0296690963842,26.7656659425587,19.2450927472815,26.852410933892,17.3478916239664
"Vcpip1",298.984125120388,241.544743454453,298.042927665936,206.323505378049,211.823906838121,196.690767634131,241.96711386311,235.749702401684,215.221887740636,218.683598502701,195.95069602091,212.571777810157,232.309975465815,239.844399751951,208.416014076351,190.871971359429,201.157424088512,228.434924771048,216.305167848523,245.909555847258,167.432306901349,218.950427614812,241.293401678805
