"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Mrpl15",47.2046691117621,38.4958943697032,57.0892313179352,59.2049670151382,38.2385232269766,54.9669948447383,22.9727595709088,50.9955738400695,36.7288637978132,32.8080969975683,33.9172451846359,51.0176145028703,36.755959423954,61.4500105967526,51.8821811942766,47.5768225771956,37.8452120551149,49.0396959858966,55.1383181242602,42.471465940849,59.119837077598,40.455851896584,47.7173450978208
"Lypla1",43.7080269553353,30.7967154957626,20.5521232744567,45.7492926935159,36.5759787388472,52.6767033928742,48.8171140881813,42.4963115333913,35.316215190205,54.0368656430537,25.437933888477,47.0550813375988,29.6875056885782,40.6781760288362,44.2126413655575,33.8324071660057,54.4601832012629,36.0585999896299,39.3845129459001,41.0557504094874,40.5393168532101,27.5835353840345,31.3571124928537
"Tcea1",41.9597058771219,65.4430204284955,43.3878158016308,32.2936183718936,51.5388791320119,40.0801004076217,31.5875444099996,48.8707582634,43.7921068358542,34.7379850562488,46.6362121288744,40.6159649440326,55.1339391359309,50.1986002057979,44.6637907672468,40.1759835096318,38.7682660076787,56.2514159838226,35.4460616513101,42.471465940849,47.2958696620784,33.1002424608414,58.6241668344655
"Atp6v1h",90.9126960670974,88.5405570503174,79.9249238451093,113.027664301627,109.727936216541,123.675738400661,86.1478483909081,89.2422542201217,128.551023292346,94.564514875344,99.6319077298681,91.6335794469029,89.0625170657346,83.0873382716655,79.4022946973277,84.5810179150143,83.07485573074,72.1171999792598,82.7074771863902,86.3586474130596,89.5243247175056,60.6837778448759,87.254573893158
"Rb1cc1",17.4832107821341,32.0799119747527,18.2685540217393,25.5657812110824,29.9258007863295,20.6126230667769,28.715949463636,38.2466803800522,22.6023777217312,19.2988805868049,36.0370730086757,32.1955819678308,22.6190519532024,29.4267656378815,29.7758605114979,26.431568098442,38.7682660076787,21.6351599937779,36.7588787495068,38.2243193467641,20.269658426605,18.3890235893563,28.6304070586925
"St18",38.4630637206951,32.0799119747527,45.6713850543482,18.8379440502712,29.9258007863295,29.7737888742332,22.9727595709088,27.6226024967043,26.8403235445558,27.0184328215268,33.9172451846359,36.6534317787612,21.2053612061273,46.7366277778119,31.129308716566,29.603356270255,35.0760501974235,34.6162559900447,23.6307077675401,24.0671640331478,21.9587966288221,22.0668283072276,23.1769961903701
"Pcmtd1",20.9798529385609,21.8143401428318,29.6864002853263,9.41897202513562,6.65017795251766,24.048060244573,14.357974731818,10.6240778833478,22.6023777217312,17.3689925281244,25.437933888477,25.2611489286057,8.48214448245091,15.5788759259373,23.4597688878468,19.0307290308782,24.922456719222,10.0964079970964,17.0666222765567,19.8200174390629,21.9587966288221,23.9057306661633,8.18011630248357
"Gm26901",3.49664215642682,7.69917887394065,4.56713850543482,8.07340459297339,6.65017795251766,4.58058290372819,5.74318989272721,6.37444673000869,1.4126486076082,0,4.23965564807949,5.44848310224828,4.24107224122546,5.1929586419791,7.66953982871915,5.2863136196884,3.69221581025511,10.0964079970964,10.5025367855734,1.41571553136163,3.37827640443417,1.83890235893563,0
"Sntg1",1.74832107821341,5.13278591596043,15.9849847690219,6.72783716081116,9.9752669287765,8.01602008152433,17.2295696781816,16.9985246133565,9.88854025325741,1.92988805868049,6.35948347211924,8.42038297620189,9.89583522952606,6.92394485597213,7.21839042702979,8.45810179150143,8.307485573074,5.76937599834078,6.56408549098335,11.3257242508931,8.44569101108543,7.35560943574254,6.81676358540297
"Rrs1",17.4832107821341,17.9647507058615,22.8356925271741,28.2569160754069,24.9381673219412,25.1932059705051,8.61478483909081,21.2481557666956,18.3644318989066,15.4391044694439,33.9172451846359,16.3454493067448,21.2053612061273,21.6373276749129,21.6551712810894,22.2025172026913,17.5380250987118,11.5387519966816,18.3794393747534,22.6514485017861,16.8913820221709,23.9057306661633,14.9968798878865
"Vcpip1",265.744803888439,214.293811991348,262.610464062502,176.269333613252,186.204982670495,178.642733245399,206.754836138179,212.481557666956,179.406373166242,192.988805868049,178.065537219339,182.276525602488,193.675632349296,206.852852572167,175.948266658851,169.162035830029,169.841927271735,188.947063945661,189.045662140321,208.11018311016,146.955023592886,194.923650047177,208.592965713331
"1700034P13Rik",12.2382475474939,15.3983577478813,6.85070775815223,5.38226972864893,11.6378114169059,10.3063115333884,5.74318989272721,6.37444673000869,14.126486076082,1.92988805868049,19.0784504163577,6.43911639356615,18.377979711977,12.1169034979512,9.02298803378724,10.5726272393768,10.1535934782016,12.9810959962668,10.5025367855734,8.4942931881698,21.9587966288221,14.7112188714851,8.18011630248357
"Sgk3",55.9462745028292,37.2126978907131,27.4028310326089,60.5505344473004,33.2508897625883,53.8218491188062,31.5875444099996,31.8722336500435,32.4909179749886,38.5977611736098,31.7974173605962,44.0831814636452,60.7887021242315,45.0056415638188,43.7614919638681,51.8058734729463,43.3835357704975,34.6162559900447,57.7639523206535,39.6400348781257,45.6067314598613,53.3281684091334,32.7204652099343
"Snhg6",19.2315318603475,10.2655718319209,4.56713850543482,1.34556743216223,6.65017795251766,22.902914518641,17.2295696781816,12.7488934600174,11.3011888608656,15.4391044694439,6.35948347211924,14.859499369768,21.2053612061273,11.2514103909547,17.1436772641958,5.2863136196884,12.9227553358929,12.9810959962668,9.18971968737669,19.8200174390629,15.2022438199538,5.5167070768069,12.2701744537253
"Cops5",33.2181004860548,42.3454838066735,61.6563698233701,69.969506472436,44.8887011794942,44.6606833113499,28.715949463636,46.7459426867304,67.8071331651937,67.5460820538171,48.7560399529142,65.3817972269794,40.9970316651794,43.2746553498258,58.649422219617,82.466492467139,58.152399011518,44.712663987141,59.0767694188502,36.8086038154025,69.2546662909005,31.2613401019058,53.1707559661432
"Cspp1",31.4697794078414,26.9471260587923,29.6864002853263,13.4556743216223,23.2756228338118,19.4674773408448,20.1011646245452,40.3714959567217,21.189729114123,17.3689925281244,19.0784504163577,24.7658322829467,28.273814941503,30.2922587448781,20.7528724777106,28.5460935463173,31.3838343871684,20.1928159941927,26.2563419639334,22.6514485017861,25.3370730332563,16.5501212304207,20.4502907562089
"Arfgef1",167.838823508488,107.788504235169,294.580433600546,169.541496452441,191.192616134883,95.04709525236,166.552506889089,121.114487870165,125.72572607713,216.147462572215,93.2724242577488,101.044595714423,163.988126660718,134.15143158446,101.057465978417,175.505612173655,129.227553358929,174.523623949809,144.409880801634,148.650130792971,141.887608986235,180.212431175692,170.419089635074
"Cpa6",15.7348897039207,15.3983577478813,15.9849847690219,4.03670229648669,16.6254448812942,24.048060244573,22.9727595709088,25.4977869200348,21.189729114123,23.1586567041659,19.0784504163577,14.3641827241091,4.24107224122546,6.05845174897561,9.92528683716596,10.5726272393768,9.23053952563777,8.65406399751117,14.4409880801634,12.7414397822547,8.44569101108543,12.8723165125494,8.18011630248357
"Ncoa2",24.4764950949878,21.8143401428318,13.7014155163045,14.8012417537845,16.6254448812942,12.5966029852525,11.4863797854544,21.2481557666956,11.3011888608656,23.1586567041659,14.8387947682782,19.3173491806985,18.377979711977,14.7133828189408,24.8132170929149,17.9734663069405,23.9994027666582,25.9621919925335,9.18971968737669,14.1571553136163,16.8913820221709,11.0334141536138,14.9968798878865
