"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Mrpl15",33.5716271025153,46.982363595167,37.9567685643388,59.340251725483,60.1874940893654,37.756472495375,54.2880788831097,23.6134098243298,51.0521907168847,37.9739808310939,32.653590651294,33.940026267824,50.5591633874159,37.6944087172819,60.4684827546669,51.6702364408266,47.1035281379312,38.0309216825557,51.0048067152414,55.208307442433,43.0258922241144,58.554666892696,40.2586413852147,48.3622904748941
"Lypla1",14.9207231566735,43.5021885140435,30.3654148514711,21.3624906211739,46.5085181599642,36.1148867347065,52.0260755963134,50.1784958767008,42.5434922640706,36.5134431068211,53.7823846021313,25.455019700868,46.632238075772,30.4454839639584,40.0284322460471,44.0320275756609,33.4958422314177,54.7274238846533,37.5035343494422,39.4345053160235,41.5916958166439,40.1517715835629,27.4490736717373,31.7809337406447
"Tcea1",11.1905423675051,41.7621009734818,64.526506559376,45.0985913113671,32.829542230563,50.8891585807228,39.5850575189341,32.4684385084535,48.9250161036812,45.2766694524581,34.5743901013701,46.667536118258,40.2509844443506,56.5416130759228,49.3967887291645,44.4813339794942,39.7763126498085,38.9585051382278,58.5055135851299,35.4910547844212,43.0258922241144,46.8437335141568,32.9388884060848,59.4165282977271
"Atp6v1h",108.175242885883,90.4845521092105,87.3005676979793,83.0763524156762,114.90339780697,108.344660204119,122.148177486997,88.5502868412367,89.3413337545482,132.908932908829,94.1191730537297,99.6988271617329,90.8101478317665,91.3364518918753,81.7602020344791,79.0779270746564,83.7396055785443,83.4825110104881,75.0070686988845,82.8124611636494,87.4859808556992,88.6684955803682,60.3879620778221,88.4339025826635
"Rb1cc1",26.1112655241786,17.4008754056174,31.6306404702824,18.9888805521546,25.9900542658623,29.5485436920326,20.3580295811661,29.5167622804122,38.2891430376635,23.3686035883655,19.2079945007612,36.061277909563,31.9062681571071,23.196559210635,28.9567382205447,29.6542226529961,26.1686267432951,38.9585051382278,22.5021206096653,36.8055382949553,38.7233030017029,20.0758857917815,18.2993824478249,29.0173742849365
"St18",37.3018078916837,38.2819258923583,31.6306404702824,47.4722013803864,19.1505663011617,29.5485436920326,29.4060427283511,23.6134098243298,27.6532699716459,27.750216761184,26.8911923010656,33.940026267824,36.3240591327066,21.7467742599703,45.9901136443945,31.002141864496,29.3088619524905,35.2481713155394,36.0033929754645,23.6607031896141,24.3813389269981,21.7488762744299,21.9592589373899,23.49025537352
"Pcmtd1",14.9207231566735,20.8810504867409,21.508835519792,30.8569308972511,9.57528315058086,6.56634304267391,23.7510345113605,14.7583811402061,10.6358730660176,23.3686035883655,17.287195050685,25.455019700868,25.0341488617302,8.69870970398813,15.3300378814648,23.3639329993303,18.8414112551725,25.0447533031464,10.5009896178438,17.0882856369435,20.0787497045867,21.7488762744299,23.7891971821723,8.29067836712471
"Gm26901",11.1905423675051,3.48017508112348,7.59135371286777,4.74722013803864,8.20738555764074,6.56634304267391,4.52400657359247,5.90335245608245,6.38152383961059,1.46053772427284,0,4.242503283478,5.39952230351044,4.34935485199406,5.11001262715495,7.63820886516567,5.23372534865902,3.71033382268836,10.5009896178438,10.5158680842729,1.43419640747048,3.34598096529691,1.82993824478249,0
"Sntg1",11.1905423675051,1.74008754056174,5.06090247524518,16.6152704831352,6.83948796470062,9.84951456401086,7.91701150378683,17.7100573682473,17.0173969056282,10.2237640699099,1.92079945007612,6.36375492521699,8.34471628724341,10.1484946546528,6.81335016953993,7.1889024613324,8.37396055785443,8.34825110104881,6.00056549591076,6.57241755267059,11.4735712597638,8.36495241324228,7.31975297912995,6.90889863927059
"Rrs1",18.6509039458418,17.4008754056174,17.7131586633581,23.7361006901932,28.7258494517426,24.6237864100272,24.8820361547586,8.85502868412367,21.2717461320353,18.9869904155469,15.3663956006089,33.940026267824,16.1985669105313,21.7467742599703,21.2917192798123,21.5667073839972,21.9816464643679,17.6240856577697,12.0011309918215,18.4027691474777,22.9471425195277,16.7299048264846,23.7891971821723,15.1995770063953
