"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Gm39458",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"Gm47064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm47066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm39459",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"Gm47068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm47069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm19385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gm34425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm47070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm39460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4930593C16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctnnb1",20,41,53,42,68,38,58,22,26,49,43,28,117,53,71,152,62,74,56,60,47,32,43,32
"Ulk4",2,2,4,0,2,2,5,5,3,3,4,6,8,5,5,16,5,4,7,6,3,1,3,2
"Gm34655",0,0,1,0,1,4,0,0,2,0,0,1,3,1,2,3,3,1,0,1,0,0,0,0
"Trak1",5,5,11,8,6,8,10,3,3,18,4,3,27,9,20,19,7,20,6,7,9,2,7,12
"Cck",1,0,2,1,4,0,1,1,0,3,1,0,6,1,2,3,2,1,2,2,2,2,0,1
"Gm47095",0,0,2,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
"Gm38661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lyzl4",1,1,4,1,3,2,1,1,2,4,0,1,7,1,2,8,3,4,3,4,9,1,3,1
"Lyzl4os",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Vipr1",0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0
"Sec22c",0,2,2,0,1,3,2,2,2,4,2,0,3,2,0,3,1,2,4,1,2,0,2,2
"Ss18l2",12,26,45,14,50,31,68,26,46,42,43,32,108,38,84,122,57,46,38,46,34,28,31,31
"Nktr",35,53,53,22,53,61,73,19,33,49,37,43,146,50,93,169,69,94,43,60,64,50,35,70
"E530011L22Rik",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Zfp651",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klhl40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hhatl",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccdc13",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0
"Gm17163",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Higd1a",28,67,106,57,120,109,119,44,67,95,71,69,337,122,213,347,132,159,86,119,135,124,72,145
"Gm47112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Gm47113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ackr2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp8b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
