"","sgNfe2l1","sgNfe2l2","doubleKO"
"Cab39",0,0,0
"Itm2c",0,0,0
"Psmd1",0,0,0
"Gm21972",0,0,0
"Ncl",0,0,0
"Ptma",0,0,0
"Pde6d",0,0,0
"Cops7b",0,0,0
"Dis3l2",0,0,0
"Gm6136",0,0,0
"Eif4e2",0,0,0
"Gigyf2",0,0,0
"Ngef",0,0,0
"Inpp5d",0,0,0
"Atg16l1",0,0,0
"Dgkd",0,0,0
"Usp40",0,0,0
"Hjurp",0,0,0
"Glrp1",0,0,0
"Arl4c",0,0,0
"Sh3bp4",0,0,0
"Agap1",0,0,0
"Cops8",0,0,0
"Lrrfip1",0,0,0
"Ramp1",0,0,0
"Ube2f",0,1,0
"Scly",0,0,0
"Ilkap",0,0,0
"Twist2",0,0,0
"Hdac4",0,0,0
"Ndufa10",0,0,0
"Cops9",0,0,0
"Gpc1",0,0,0
"Ankmy1",0,0,0
"Rnpepl1",0,0,0
"9430060I03Rik",0,0,0
"Kif1a",0,0,0
"Mterf4",0,0,0
"Ppp1r7",0,0,0
"Hdlbp",0,0,0
"Farp2",0,0,0
"Stk25",0,0,0
"Thap4",0,0,0
"Atg4b",0,0,0
"Dtymk",0,0,0
"Ing5",0,0,0
"D2hgdh",0,0,0
"Fam174a",0,0,0
"Gm15427",0,0,0
"St8sia4",0,0,0
"Gm7135",0,0,0
"D1Ertd622e",0,0,0
"Ppip5k2",0,0,0
"Gin1",0,0,0
"Pam",0,0,0
"Cntnap5b",0,0,0
"Cdh20",0,0,0
"Pign",0,0,0
"Relch",0,0,0
"Tnfrsf11a",0,0,0
"Gm7160",0,0,0
"Zcchc2",0,0,-1
"Phlpp1",0,0,0
"Bcl2",0,0,0
"Kdsr",0,0,0
"Vps4b",0,0,0
"Serpinb2",0,1,1
"Serpinb8",0,0,0
"Cntnap5a",0,0,0
"Tsn",0,0,0
"Nifk",0,0,0
"Clasp1",0,0,0
"Ralb",0,0,0
"Tmem185b",0,0,0
"Ptpn4",0,0,0
"Tmem177",0,0,0
"Tmem37",0,0,0
"Dbi",0,0,0
"3110009E18Rik",0,0,0
"Marco",0,0,0
"Insig2",0,0,0
"Ccdc93",0,0,0
"Ddx18",0,0,0
"Dpp10",0,0,0
"Actr3",0,0,0
"Slc35f5",0,0,0
"Nckap5",0,0,0
"Mgat5",0,0,0
"Tmem163",0,0,0
"Ccnt2",0,0,0
"Rab3gap1",0,0,0
"Zranb3",0,0,0
"Rpl28-ps1",0,0,0
"R3hdm1",0,0,0
"Ubxn4",0,0,0
"Mcm6",0,0,0
"Dars",0,0,0
"Cxcr4",0,0,0
"Thsd7b",0,0,0
"Pfkfb2",0,0,0
"Yod1",0,0,0
"Il10",0,0,0
"Mapkapk2",-1,-1,-1
"Eif2d",0,0,0
"Ikbke",0,0,0
"Srgap2",0,0,0
"Ctse",0,0,0
"Rab7b",0,0,0
"Slc41a1",0,0,0
"Rab29",0,0,0
"Nucks1",0,0,0
"Elk4",0,0,0
