"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Mrpl15",36.0297248842778,36.6049114111264,35.8225657044722,15.0376496731287,44.9381574527023,19.4716365264999,24.5319988923438,17.5363638511704,21.9075530266874,37.2178602129385,29.8892819607608,47.3222797190315,39.0292399869067,34.82510963706,28.6875723524745,30.4855831871611,40.7240360083917,36.1609880485034,45.9004524954861,31.3652983826454,33.0722799247726
"Tcea1",26.0214679719784,33.6765184982363,10.9025199970133,16.9173558822698,18.5039471864068,12.9810910176666,22.0787990031094,21.920454813963,21.9075530266874,11.8420464313895,29.8892819607608,17.7458548946368,27.0602730575886,14.4103901946455,14.8750375160979,28.7919396767633,15.0829762994043,21.3678565741156,17.2126696858073,14.6371392452345,22.0481866165151
"Atp6v1h",104.085871887914,101.029555494709,130.830239964159,124.060609803312,142.744735437996,97.3581826324994,103.034395347844,107.410228588419,114.406110250479,104.322789990812,104.612486862663,94.6445594380629,91.5886165026077,96.0692679643036,95.625241174915,84.682175519892,95.0227506862473,100.26455777085,101.363499260865,69.00365644182,100.791710246926
"Rb1cc1",20.0165138245988,36.6049114111264,28.0350514208913,33.8347117645396,21.1473682130364,32.4527275441665,44.1575980062188,21.920454813963,41.380933494854,35.5261392941685,23.247219302814,32.5340673068341,33.8253413219858,30.0216462388449,42.5001071888511,25.4046526559676,39.2157383784513,44.3793944231632,19.1251885397859,18.8191790295873,33.0722799247726
"St18",44.0363304141173,36.6049114111264,21.8050399940265,33.8347117645396,34.3644733461841,25.9621820353332,31.8915985600469,30.6886367395483,38.9467609363331,41.1652090234016,24.9077349673007,53.2375646839104,35.9069007879542,33.6242437875063,40.3751018294085,40.6474442495482,27.1493573389278,27.9425816738435,24.8627451017216,25.0922387061164,26.7727980343397
"Pcmtd1",24.0198165895185,24.891339759566,10.9025199970133,7.51882483656436,27.7559207796102,16.2263637720832,12.2659994461719,19.7284093325667,29.2100707022499,28.1953486461655,9.96309398692027,17.7458548946368,27.0602730575886,21.6155852919683,28.6875723524745,11.8555045727849,19.6078691892256,23.0115378490476,24.8627451017216,27.1832585982927,9.44922283564932
"Gm26901",4.00330276491976,8.78517873867034,9.34501714029709,7.51882483656436,5.28684205325909,3.24527275441665,7.35959966770313,0,4.86834511704164,6.20297670215641,4.98154699346013,5.91528496487893,8.84662773036552,6.00432924776897,4.25001071888511,11.8555045727849,12.0663810395235,1.64368127493197,3.82503770795717,2.09101989217636,0
"Sntg1",2.00165138245988,7.32098228222529,7.78751428358091,9.39853104570545,6.60855256657387,12.9810910176666,12.2659994461719,2.1920454813963,0,7.89469762092634,8.30257832243356,5.91528496487893,6.76506826439716,8.40606094687656,9.5625241174915,6.77457404159136,6.03319051976174,11.5057689245238,7.65007541591435,6.27305967652909,7.8743523630411
"Rrs1",20.0165138245988,20.4987503902308,32.7075599910398,28.1955931371164,29.077631292925,9.73581826324994,24.5319988923438,17.5363638511704,38.9467609363331,18.0450231335459,24.9077349673007,24.6470206869955,24.9787135916203,25.2181828406297,20.1875509147043,13.5491480831827,21.1161668191661,26.2989003989116,19.1251885397859,27.1832585982927,17.3235751986904
"Vcpip1",304.251010133902,244.520808226325,204.03287422982,210.527095423802,206.186840077105,233.659638317998,245.319988923438,219.20454813963,204.470494915749,207.517766035778,227.490646034679,235.625517767677,202.952047931915,192.138535928607,195.500493068715,221.867299862117,217.194858711423,241.621147415,166.389140296137,221.648108570694,240.955182309058
